scope,model,n,wape,mase,bias,interval_coverage
fold_1,seasonal_naive_52,6935,0.34697598244841515,1.1712371785100657,-0.030182236745540644,0.8793078586878155
fold_2,seasonal_naive_52,7569,0.4065149726306751,1.204029741958542,-0.15210547028728846,0.8756771039767473
fold_3,seasonal_naive_52,6623,0.3860630420985826,1.1708898819729416,0.0013623862915168182,0.8891740902914087
fold_4,seasonal_naive_52,7017,0.40907015412714415,1.2560269841055154,-0.006151301336228063,0.8764429243266353
fold_5,seasonal_naive_52,5980,0.42193873624259215,1.2320222225860975,-0.023685830831986453,0.8807692307692307
fold_6,seasonal_naive_52,7392,0.44317625957932494,1.2146134799897772,0.10288602641447905,0.8856872294372294
overall,seasonal_naive_52,41516,0.4004598187687816,1.2005928445457346,-0.018221695849889176,0.8810819924848251
fold_1,naive_1,6935,0.34180011896760837,1.1799354848206292,0.03985414880221249,
fold_2,naive_1,7569,0.4108350327358592,1.1652342322945881,-0.03723480376372938,
fold_3,naive_1,6623,0.3070869473238841,1.0020227098039554,-0.012896128622805161,
fold_4,naive_1,7017,0.34373196178267124,1.0971252360233608,0.026311028404538524,
fold_5,naive_1,5980,0.34568613869006387,1.0910219935720835,0.0531632417455553,
fold_6,naive_1,7392,0.3438683261771473,1.01792275878907,0.12166422088156965,
overall,naive_1,41516,0.3482837249959048,1.0946883636658642,0.031142139374953793,
